URL,Anchor Text,Status Code,Status Text
"https://leiomyosarcoma.info/direct-access-to-clinical-trial-site-links-by-sarcoma-centers/#content","Skip to content","200","OK"
"https://leiomyosarcoma.info/","","200","OK"
"https://leiomyosarcoma.info/","Home","200","OK"
"https://leiomyosarcoma.info/direct-access-to-clinical-trial-site-links-by-sarcoma-centers/#","LMS Research Updates","200","OK"
"https://leiomyosarcoma.info/research-projects/","Research Projects","200","OK"
"https://leiomyosarcoma.info/general-research-news-updates/","LMS Research Updates","200","OK"
"https://leiomyosarcoma.info/uterine-leiomyosarcoma/","Uterine Leiomyosarcoma Research Updates","200","OK"
"https://leiomyosarcoma.info/sarcomalms-immunotherapy-asco-2017-presentation/","ASCO Research Presentations","200","OK"
"https://leiomyosarcoma.info/drug-treatment-updates/","Drug Treatment Updates","200","OK"
"https://leiomyosarcoma.info/immunotherapy-updates/","Immunotherapy Updates","200","OK"
"https://leiomyosarcoma.info/crisper-cas9/","Gene Editing (CRISPR Cas 9)","200","OK"
"https://leiomyosarcoma.info/radiation-therapy/","Radiation Therapy","200","OK"
"https://leiomyosarcoma.info/liquid-biopsies-explained/","LIQUID BIOPSIES EXPLAINED","200","OK"
"https://leiomyosarcoma.info/direct-access-to-clinical-trial-site-links-by-sarcoma-centers/#","Clinical Trials","200","OK"
"https://leiomyosarcoma.info/what-is-a-clinical-trial/","What is a Clinical Trial?","200","OK"
"https://leiomyosarcoma.info/clinical-trial-listings/","How to Find Clinical Trials","200","OK"
"https://leiomyosarcoma.info/direct-access-to-clinical-trial-site-links-by-sarcoma-centers/","DIRECT ACCESS TO CLINICAL TRIAL SITE LINKS- BY SARCOMA CENTERS:","200","OK"
"https://leiomyosarcoma.info/clinical-trial-highlights/","Clinical Trial Highlights","200","OK"
"https://leiomyosarcoma.info/direct-access-to-clinical-trial-site-links-by-sarcoma-centers/#","Videos","200","OK"
"https://leiomyosarcoma.info/2019-asco-presentations/","2019 ASCO Meeting","200","OK"
"https://leiomyosarcoma.info/educational-videoswebcasts/","Miscellaneous Videos","200","OK"
"https://leiomyosarcoma.info/doctor-interviews/","Interviews with Researchers","200","OK"
"https://leiomyosarcoma.info/lms-specific-presentations-from-ctos-2018/","LMS specific presentations from CTOS 2018","200","OK"
"https://leiomyosarcoma.info/direct-access-to-clinical-trial-site-links-by-sarcoma-centers/#","Patient Data Collection Programs","200","OK"
"https://leiomyosarcoma.info/cancer-cell-line-project/","Broad Institute Cancer Cell Line Project","200","OK"
"https://leiomyosarcoma.info/cancerlinq-information-video-for-patients/","CANCERLINQ Information Video for patients:","200","OK"
"https://leiomyosarcoma.info/mypart-network/","MyPart Network / Count Me In Project","200","OK"
"https://leiomyosarcoma.info/orien/","ORIEN-Oncology Research Information Exchange Network","200","OK"
"https://leiomyosarcoma.info/irr-forum/","International Research Roundtable Forum","200","OK"
"https://leiomyosarcoma.info/uterine-leiomyosarcoma/","Uterine LMS Research Updates","200","OK"
"https://leiomyosarcoma.info/contact/","About Us","200","OK"
"https://leiomyosarcoma.info/direct-access-to-clinical-trial-site-links-by-sarcoma-centers/#","Menu","200","OK"
"https://cancercenter.arizona.edu/patients/clinical-trials","https://uacc.arizona.edu/research/clinical-trials","200","OK"
"https://britrials.bswsites.com/#","https://britrials.bswsites.com/#","200","OK"
"https://cancer.dartmouth.edu/health-care-professionals/clinical-trials","https://cancer.dartmouth.edu/health-care-professionals/clinical-trials","200","OK"
"https://www.froedtert.com/research/clinical-trials/search","https://www.froedtert.com/research/clinical-trials/search","200","OK"
"https://www.fda.gov/about-fda/oncology-center-excellence/patient-friendly-language-cancer-clinical-trials","https://www.fda.gov/about-fda/oncology-center-excellence/patient-friendly-language-cancer-clinical-trials","200","OK"
"https://uihc-oncore-prod.forteresearchapps.com/sip-mobile/flowchart.html","https://uihc-oncore-prod.forteresearchapps.com/sip-mobile/flowchart.html","200","OK"
"https://www.hollingscancercenter.org/clinical-trials/","https://www.hollingscancercenter.org/clinical-trials/","200","OK"
"https://news.llu.edu/research/clinical-trials-loma-linda-university-cancer-center-seek-new-treatments","https://news.llu.edu/research/clinical-trials-loma-linda-university-cancer-center-seek-new-treatments","200","OK"
"https://www.mdanderson.org/patients-family/diagnosis-treatment/clinical-trials.html","https://www.mdanderson.org/patients-family/diagnosis-treatment/clinical-trials.html","200","OK"
"https://www.mayo.edu/research/clinical-trials/search-results?keyword=soft%20tissue%20sarcoma","https://www.mayo.edu/research/clinical-trials/search-results?keyword=soft%20tissue%20sarcoma","200","OK"
"https://www.cancer.gov/types/soft-tissue-sarcoma/research","hhttps://www.cancer.gov/types/soft-tissue-sarcoma/researchcoma/research","200","OK"
